"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"INNOVATIVE","Innovative Tyres and Tubes Limited","7(2)","PRADEEP KOTHARI","Promoters","Equity Shares","2748676","15.29",,"171000","923400","Sell","Equity Shares","2577676","14.34","25-Mar-2022","01-Apr-2022","02-Apr-2022","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2022 23:31","https://archives.nseindia.com/corporate/xbrl/IT_1125116_622733_02042022113112_WEB.xml"
"INTELLECT","Intellect Design Arena Limited","7(2)","Hitesh Gulati","-","Equity Shares","5000","0",,"1000","949000","Sell","Equity Shares","4000","0","31-Mar-2022","31-Mar-2022","02-Apr-2022","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2022 18:46","https://archives.nseindia.com/corporate/xbrl/IT_1125113_622728_02042022064626_WEB.xml"
"VAIBHAVGBL","Vaibhav Global Limited","7(2)","Vaibhav Global Employee Stock Option Welfare Trust","Other","Equity Shares","212474","0.13",,"17511","2652401","Sell","Equity Shares","194963","0.12","31-Mar-2022","31-Mar-2022","01-Apr-2022","Off Market","-","-","0","0","0","0","NA","-","02-Apr-2022 18:16","https://archives.nseindia.com/corporate/xbrl/IT_1125111_622723_02042022061601_WEB.xml"
"VAIBHAVGBL","Vaibhav Global Limited","7(2)","Vaibhav Global Employee Stock Option Welfare Trust","Other","Equity Shares","218974","0.13",,"6500","2553102","Sell","Equity Shares","212474","0.13","30-Mar-2022","30-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2022 18:16","https://archives.nseindia.com/corporate/xbrl/IT_1125111_622723_02042022061601_WEB.xml"
"GHCL","GHCL Limited","7(2)","Sivabalasubramanian M","Employees/Designated Employees","Equity Shares","75000","0.08",,"1206","653652","Sell","Equity Shares","73794","0.08","30-Mar-2022","30-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2022 16:47","https://archives.nseindia.com/corporate/xbrl/IT_1125109_622701_02042022044701_WEB.xml"
"COMPUSOFT","Compucom Software Limited","7(2)","RISHAB  INFOTECH PRIVATE LIMITED","Promoter Group","Equity Shares","15582088","19.69",,"33000","803550","Sell","Equity Shares","15549088","19.65","14-Mar-2022","31-Mar-2022","02-Apr-2022","Market Sale","-","-","0","0","0","0","BSE,NSE","-","02-Apr-2022 15:42","https://archives.nseindia.com/corporate/xbrl/IT_1125107_622692_02042022034219_WEB.xml"
"COMPUSOFT","Compucom Software Limited","7(2)","SAMBHAV INFOTECH PRIVATE LIMITED","Promoter Group","Equity Shares","18883857","23.86",,"20500","499980","Sell","Equity Shares","18863357","23.84","14-Mar-2022","31-Mar-2022","02-Apr-2022","Market Sale","-","-","0","0","0","0","BSE,NSE","-","02-Apr-2022 15:42","https://archives.nseindia.com/corporate/xbrl/IT_1125107_622692_02042022034219_WEB.xml"
"KDDL","KDDL Limited","7(2)","RKS JS FAMILY TRUST","Promoter Group","Equity Shares","Nil","0",,"1400058","0","Buy","Equity Shares","1400058","10.99","30-Mar-2022","30-Mar-2022","01-Apr-2022","Inter-se-Transfer","-","-","0","0","0","0","NA","-","02-Apr-2022 15:20","https://archives.nseindia.com/corporate/xbrl/IT_1125105_622686_02042022032018_WEB.xml"
"KDDL","KDDL Limited","7(2)","USHA DEVI SABOO","Promoter Group","Equity Shares","169800","1.33",,"169800","0","Sell","Equity Shares","Nil","0","30-Mar-2022","30-Mar-2022","01-Apr-2022","Inter-se-Transfer","-","-","0","0","0","0","NA","-","02-Apr-2022 15:20","https://archives.nseindia.com/corporate/xbrl/IT_1125105_622686_02042022032018_WEB.xml"
"KDDL","KDDL Limited","7(2)","RAJENDRA KUMAR SABOO","Promoters","Equity Shares","1906650","14.97",,"1400058","0","Sell","Equity Shares","506592","3.98","30-Mar-2022","30-Mar-2022","01-Apr-2022","Inter-se-Transfer","-","-","0","0","0","0","NA","-","02-Apr-2022 15:20","https://archives.nseindia.com/corporate/xbrl/IT_1125105_622686_02042022032018_WEB.xml"
